suite_name,run,host_idx,exp_name,mpc.script_name,mpc.protocol_setup,mpc.domain,mpc.script_args.dataset,network_type,mpc_type,consistency_args.type,mpc_time_s,auditing_overhead_s,auditing_overhead_bytes,global_data_sent_bytes,n_rounds,share_convert_time_s,share_convert_global_bytes,share_input_convert_time_s,share_input_convert_global_bytes,share_input_local_time_s,poly_commit_time_s,poly_commit_global_bytes,sign_time_s,sign_global_bytes,sign_sk_time_s,sign_sk_global_bytes,Unnamed: 0,commitment_train,commitment_model,commitment_prediction_x,commitment_prediction_y,commitment_randomness,trusted_setup,signature_train,signature_modelowner,signature_computer_train,signature_computer_inference,identity_train,identity_modelowner,identity_computer_train,identity_computer_inference,storage_train,storage_inference
inference_3pc,1,0,mal,inference,sy-rep-ring-party,ring_split,adult,lan,mal,sha3s,0.058895949999999996,2.527628559,477623498.0000001,4153567.9999999995,857,,,,,,,,0.006936,2070.0,0.000663,528.0,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc,1,0,sh,inference,semi_honest_3,ring_split,adult,lan,sh,sha3s,0.007646315,0.838001261,15410082.000000002,58875.0,149,,,,,,,,0.002806,726.0,0.000239,96.0,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc,1,1,mal,inference,sy-rep-ring-party,ring_split,adult,lan,mal,sha3s,0.05896637,2.527495201,477623498.0000001,4153567.9999999995,857,,,,,,,,0.006877,2070.0,0.000582,528.0,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc,1,1,sh,inference,semi_honest_3,ring_split,adult,lan,sh,sha3s,0.007816077,0.838076748,15410082.000000002,58875.0,148,,,,,,,,0.00288,726.0,0.000235,96.0,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc,1,2,mal,inference,sy-rep-ring-party,ring_split,adult,lan,mal,sha3s,0.05886565,2.527579586,477623498.0000001,4153567.9999999995,857,,,,,,,,0.006924,2070.0,0.000625,528.0,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc,1,2,sh,inference,semi_honest_3,ring_split,adult,lan,sh,sha3s,0.007662081,0.838087545,15410082.000000002,58875.0,149,,,,,,,,0.002916,726.0,0.000222,96.0,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc_wan,7,0,wan,inference,semi_honest_3,ring_split,adult,wan,sh,sha3s,6.0189157,149.944818658,21549420.0,58875.0,149,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc_wan,7,1,wan,inference,semi_honest_3,ring_split,adult,wan,sh,sha3s,5.9385497,149.944747302,21549420.0,58875.0,148,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc_wan,7,2,wan,inference,semi_honest_3,ring_split,adult,wan,sh,sha3s,5.93914163,149.94481091,21549420.0,58875.0,149,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc_wan,25,0,wan,inference,sy-rep-ring-party,ring_split,adult,wan,mal,sha3s,32.196533200000005,170.39676769,604175900.0,4153567.9999999995,857,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc_wan,25,1,wan,inference,sy-rep-ring-party,ring_split,adult,wan,mal,sha3s,32.155751,170.396831761,604175900.0,4153567.9999999995,857,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc_wan,25,2,wan,inference,sy-rep-ring-party,ring_split,adult,wan,mal,sha3s,32.156003399999996,170.39676682799998,604175900.0,4153567.9999999995,857,,,,,,,,,,,,12,96,32,32,32,32,0,192,64,64,64,96,32,96,96,416,608
inference_3pc,3,0,mal,inference,sy-rep-ring-party,ring_split,cifar_alexnet,lan,mal,cerebro,1.4709329999999998,1433.050480649,880932807486.0,401582900.0,27018,0.74793,59654738.0,17.031734,59654738.0,,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
inference_3pc,3,1,mal,inference,sy-rep-ring-party,ring_split,cifar_alexnet,lan,mal,cerebro,1.4710759999999998,1433.0352164350002,880932807486.0,401582900.0,26979,0.744852,59654738.0,17.070036,59654738.0,,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
inference_3pc,3,2,mal,inference,sy-rep-ring-party,ring_split,cifar_alexnet,lan,mal,cerebro,1.470142,1433.058977566,880932807486.0,401582900.0,27018,0.74769,59654738.0,17.040852,59654738.0,,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
inference_3pc,11,0,sh,inference,semi_honest_3,ring_split,cifar_alexnet,lan,sh,cerebro,0.3863879,571.9410713860001,21562861742.0,44454828.0,6468,0.12644,796176.0,3.931774,796176.0,,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
inference_3pc,11,1,sh,inference,semi_honest_3,ring_split,cifar_alexnet,lan,sh,cerebro,0.38635060000000004,572.289762489,21562861742.0,44454828.0,6391,0.128292,796176.0,4.297051,796176.0,,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
inference_3pc,11,2,sh,inference,semi_honest_3,ring_split,cifar_alexnet,lan,sh,cerebro,0.3863531,571.8905976030001,21562861742.0,44454828.0,6468,0.13315,796176.0,3.922895,796176.0,,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
inference_3pc_wan,17,0,wan,inference,semi_honest_3,ring_split,cifar_alexnet,wan,sh,cerebro,23.3,353955.353559383,21562976654.0,44454828.0,6468,7.121806,796176.0,22.077464,796176.0,,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
inference_3pc_wan,17,1,wan,inference,semi_honest_3,ring_split,cifar_alexnet,wan,sh,cerebro,23.2204464,353956.536314392,21562976654.0,44454828.0,6391,7.040596,796176.0,23.586098,796176.0,,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
inference_3pc_wan,17,2,wan,inference,semi_honest_3,ring_split,cifar_alexnet,wan,sh,cerebro,23.21934,353955.27234002907,21562976654.0,44454828.0,6468,7.327539,796176.0,21.979644,796176.0,,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
inference_3pc_wan,35,0,wan,inference,sy-rep-ring-party,ring_split,cifar_alexnet,wan,mal,cerebro,130.9334,502382.311170473,880932807486.0,401582900.0,27018,21.658517,59654738.0,157.692784,59654738.0,,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
